id,categorie,nom_commercial,nom_variantes,dci,dosage,forme,laboratoire,nom_ar,nom_clean,prix,pharmacien_id,61266250,"a 313 200 000 ui pour cent, pommade",pommade,cutanée,autorisation active,procédure nationale,commercialisée,12/03/1998,unnamed: 8,unnamed: 9,pharma developpement,non,product_en_url,product_ar_url,product_thumbnail,nahdi_promo_en,nahdi_promo_ar,brand_name_en,brand_name_ar,product_name_en,product_name_ar,review_count,price_after_special,price_before_special,is_global_product_certain,is_nahdi_product
1.0,Douleurs et Fièvre,Doliprane 1000mg,Doliprane|DOLIPRANE|دوليبران|دولبران,Paracétamol,1000mg,Comprimé effervescent,Sanofi,دوليبران,DOLIPRANE 1000MG,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Douleurs et Fièvre,Doliprane 200mg,Doliprane|DOLIPRANE|دوليبران|دولبران,Paracétamol,200mg,Suppositoire,Sanofi,دوليبران,DOLIPRANE 200MG,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Douleurs et Fièvre,Doli,Doli|DOLI|دولي|دو لي|باراسيتامول,Paracétamol,2.4%,Suspension buvable,Sanofi,دولي,DOLI,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Douleurs et Fièvre,Parasphan,Parasphan|PARASPHAN|باراصفان|باراسفان,Paracétamol + Acide acétylsalicylique + Caféine,,Comprimé,Maphar,باراصفان,PARASPHAN,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Douleurs et Fièvre,Codo-Librane,Codo-Librane|Codo Librane|CodoLibrane,Paracétamol + Codéine,,Comprimé,Librapharm,كودو-ليبران,CODO-LIBRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Douleurs et Fièvre,Voltfast 50mg,Voltfast|VOLTFAST,Diclofénac potassique,50mg,Sachet,Novartis,فولتفاست,VOLTFAST 50MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Douleurs et Fièvre,Fenac 50mg,Fenac|FENAC,Diclofénac sodique,50mg,Comprimé,Maphar,فيناك,FENAC 50MG,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Antibiotiques,Biotic Plus,Biotic Plus|BIOTIC PLUS|بيوتيك بلوس,Amoxicilline + Acide clavulanique,1g/125mg,Sachet,Maphar,بيوتيك بلوس,BIOTIC PLUS,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Antibiotiques,Spectrum 500mg,Spectrum|SPECTRUM|سبيكتروم|سبيكتروم,Ciprofloxacine,500mg,Comprimé,Pharma 5,سبيكتروم,SPECTRUM 500MG,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Antibiotiques,Zithromax 200mg,Zithromax|ZITHROMAX|زيثروماكس,Azithromycine,200mg/5ml,Suspension buvable,Pfizer,زيثروماكس,ZITHROMAX 200MG,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
